time,s1,s2,s3
0,50.0,52.9552,25.0
1,50.9983,53.8942,24.9889
2,51.9867,54.7943,24.9556
3,52.9552,55.6464,24.9003
4,53.8942,56.4422,24.8233
5,54.7943,57.1736,24.7248
6,55.6464,57.8333,24.6053
7,56.4422,58.4147,24.4654
8,57.1736,58.9121,24.3056
9,57.8333,59.3204,24.1267
10,,59.6356,23.9294
11,,59.8545,23.7147
12,,59.9749,23.4835
13,,59.9957,23.2369
14,,59.9166,22.9758
15,59.9749,59.7385,22.7015
16,59.9957,59.463,22.4152
17,59.9166,59.093,22.1182
18,59.7385,58.6321,21.8118
19,59.463,58.085,21.4973
20,59.093,57.4571,21.1762
21,58.6321,56.7546,20.8498
22,58.085,55.9847,20.5197
23,57.4571,55.155,20.1873
24,56.7546,54.2738,19.854
25,55.9847,53.3499,19.5214
26,55.155,52.3925,19.1909
27,54.2738,51.4112,18.864
28,53.3499,50.4158,18.5421
29,52.3925,49.4163,18.2268
30,51.4112,48.4225,17.9193
31,50.4158,47.4446,17.621
32,49.4163,46.4922,17.3333
33,48.4225,45.5748,17.0575
34,47.4446,44.7016,16.7947
35,46.4922,43.8814,16.5462
36,45.5748,43.1223,16.313
37,44.7016,42.432,16.0962
38,43.8814,41.8172,15.8968
39,43.1223,41.2842,15.7156
40,42.432,,15.5534
41,41.8172,40.484,15.4109
42,41.2842,40.2247,15.2889
43,40.8383,40.0631,15.1878
44,40.484,40.0008,15.108
45,40.2247,40.0384,15.05
46,40.0631,40.1755,15.014
47,40.0008,40.4108,15.0002
48,40.0384,40.7419,15.0085
49,40.1755,41.1655,15.0391
50,40.4108,41.6773,15.0916
51,40.7419,42.2724,15.166
52,41.1655,42.9446,15.2619
53,41.6773,43.6873,15.3788
54,42.2724,44.4931,15.5162
55,42.9446,45.354,15.6736
56,43.6873,46.2612,15.8501
57,44.4931,47.2058,16.0452
58,45.354,48.1784,16.2577
59,46.2612,49.1691,16.487
60,47.2058,50.1681,
61,48.1784,51.1655,
62,49.1691,52.1512,
63,50.1681,53.1154,17.5487
64,51.1655,54.0485,17.8445
65,52.1512,54.9411,18.1498
66,53.1154,55.7844,18.4633
67,54.0485,56.5699,18.7837
68,54.9411,57.2897,19.1095
69,55.7844,57.9367,19.4392
70,56.5699,58.5044,19.7715
71,57.2897,58.9871,20.1047
72,57.9367,59.38,20.4375
73,58.5044,59.6792,20.7683
74,58.9871,59.8817,21.0958
75,59.38,59.9854,21.4183
76,59.6792,59.9894,21.7346
77,59.8817,59.8936,22.0431
78,59.9854,59.6989,22.3426
79,59.9894,59.4073,22.6316
80,59.8936,59.0217,22.909
81,59.6989,58.546,23.1735
82,59.4073,57.9849,23.4238
83,59.0217,57.344,23.6589
84,58.546,56.6297,23.8778
85,57.9849,55.8492,24.0795
86,57.344,55.0102,24.263
87,56.6297,54.1212,24.4276
88,55.8492,53.191,24.5725
89,55.0102,52.2289,24.6971
90,54.1212,51.2445,24.8009
91,53.191,50.2478,24.8833
92,52.2289,49.2485,24.944
93,51.2445,48.2567,24.9827
94,50.2478,47.2824,24.9993
95,49.2485,46.3352,24.9937
96,48.2567,45.4246,24.9659
97,47.2824,44.5598,24.9161
98,46.3352,43.7493,24.8444
99,45.4246,43.0013,24.7512
100,44.5598,42.3231,24.6368
101,43.7493,41.7217,24.5019
102,43.0013,41.203,24.347
103,42.3231,40.7722,24.1727
104,41.7217,40.4336,23.98
105,41.203,40.1906,23.7695
106,40.7722,40.0456,23.5423
107,40.4336,40.0001,23.2994
108,40.1906,40.0545,23.0418
109,40.0456,40.2082,22.7706
110,40.0001,40.4598,22.4872
111,40.0545,40.8067,22.1927
112,40.2082,41.2455,21.8885
113,40.4598,41.7717,21.5759
114,40.8067,42.3802,21.2563
115,41.2455,43.0647,20.9311
116,41.7717,43.8186,20.6018
117,42.3802,44.6343,20.2698
118,43.0647,45.5035,19.9366
119,43.8186,46.4177,19.6037
