time,s1,s2,s3
2026-01-01 00:00:00,50.0,52.9552,25.0
2026-01-01 00:01:00,50.9983,53.8942,24.9889
2026-01-01 00:02:00,51.9867,54.7943,24.9556
2026-01-01 00:03:00,52.9552,55.6464,24.9003
2026-01-01 00:04:00,53.8942,56.4422,24.8233
2026-01-01 00:05:00,54.7943,57.1736,24.7248
2026-01-01 00:06:00,55.6464,57.8333,24.6053
2026-01-01 00:07:00,56.4422,58.4147,24.4654
2026-01-01 00:08:00,57.1736,58.9121,24.3056
2026-01-01 00:09:00,57.8333,59.3204,24.1267
2026-01-01 00:10:00,58.4147,59.6356,23.9294
2026-01-01 00:11:00,58.9121,59.8545,23.7147
2026-01-01 00:12:00,59.3204,59.9749,23.4835
2026-01-01 00:13:00,59.6356,59.9957,23.2369
2026-01-01 00:14:00,59.8545,59.9166,22.9758
2026-01-01 00:15:00,59.9749,59.7385,22.7015
2026-01-01 00:16:00,59.9957,59.463,22.4152
2026-01-01 00:17:00,59.9166,59.093,22.1182
2026-01-01 00:18:00,59.7385,58.6321,21.8118
2026-01-01 00:19:00,59.463,58.085,21.4973
2026-01-01 00:20:00,59.093,57.4571,21.1762
2026-01-01 00:21:00,58.6321,56.7546,20.8498
2026-01-01 00:22:00,58.085,55.9847,20.5197
2026-01-01 00:23:00,57.4571,55.155,20.1873
2026-01-01 00:24:00,56.7546,54.2738,19.854
2026-01-01 00:25:00,55.9847,53.3499,19.5214
2026-01-01 00:26:00,55.155,52.3925,19.1909
2026-01-01 00:27:00,54.2738,51.4112,18.864
2026-01-01 00:28:00,53.3499,50.4158,18.5421
2026-01-01 00:29:00,52.3925,49.4163,18.2268
01/01/2026 00:30,51.4112,48.4225,17.9193
01/01/2026 00:31,50.4158,47.4446,17.621
01/01/2026 00:32,49.4163,46.4922,17.3333
01/01/2026 00:33,48.4225,45.5748,17.0575
01/01/2026 00:34,47.4446,44.7016,16.7947
01/01/2026 00:35,46.4922,43.8814,16.5462
