timestamp,occupancy_t4013,speed_t4013,occupancy_6005,speed_6005
2015-09-01 13:45:00,7.72,65,3.06,88
2015-09-01 13:50:00,10.11,59,6.44,85
2015-09-01 14:00:00,9.56,62,3.83,94
2015-09-01 14:05:00,14.94,58,4.5,92
2015-09-01 14:35:00,12.89,62,1.67,77
2015-09-01 14:40:00,9.06,63,18.83,73
2015-09-01 14:50:00,11.67,62,13.11,76
2015-09-01 14:55:00,7.94,63,12.72,93
2015-09-01 17:15:00,21.33,38,12.78,87
2015-09-01 17:25:00,14.61,33,7.5,90
2015-09-01 17:35:00,15.28,59,3.72,102
2015-09-01 17:45:00,7.61,68,2.72,75
2015-09-01 17:55:00,10.72,65,3.83,68
2015-09-01 18:10:00,14.0,61,3.83,81
2015-09-01 18:45:00,6.89,63,1.83,93
2015-09-01 18:50:00,9.11,63,2.56,93
2015-09-01 19:20:00,8.33,66,2.28,86
2015-09-01 19:25:00,5.33,63,2.06,67
2015-09-01 20:00:00,7.06,67,3.61,82
2015-09-01 20:55:00,5.5,65,5.44,80
2015-09-01 21:05:00,12.83,62,1.67,65
2015-09-01 21:25:00,2.44,66,5.17,80
2015-09-01 22:40:00,4.61,60,1.44,94
2015-09-01 22:45:00,3.28,59,2.94,96
2015-09-01 23:01:00,3.17,56,1.83,77
2015-09-01 23:05:00,5.17,58,1.94,79
2015-09-01 23:10:00,2.56,62,2.17,78
2015-09-02 00:05:00,0.61,75,0.28,71
2015-09-02 01:35:00,0.83,66,0.22,75
2015-09-02 02:40:00,4.39,58,0.0,74
2015-09-02 03:05:00,1.89,53,0.5,95
2015-09-02 03:10:00,0.83,53,0.0,98
2015-09-02 04:20:00,2.22,64,0.5,67
2015-09-02 04:25:00,10.11,55,1.44,59
2015-09-02 04:45:00,1.39,65,2.56,76
2015-09-02 04:50:00,6.11,68,2.56,71
2015-09-02 05:00:00,5.67,63,6.06,87
2015-09-02 05:15:00,4.44,60,4.39,79
2015-09-02 05:20:00,6.06,62,5.44,77
2015-09-02 05:30:00,2.17,69,5.83,84
2015-09-02 05:35:00,5.61,64,4.5,87
2015-09-02 05:45:00,6.44,62,9.28,93
2015-09-02 05:50:00,8.0,63,5.39,83
2015-09-02 05:55:00,10.33,62,9.17,88
2015-09-02 06:00:00,14.28,60,7.5,90
2015-09-02 06:05:00,14.06,61,10.33,89
2015-09-02 06:10:00,11.61,60,10.44,84
2015-09-02 06:20:00,12.94,55,8.89,95
2015-09-02 06:25:00,12.39,56,15.61,86
2015-09-02 06:30:00,16.78,58,11.89,79
2015-09-02 06:40:00,8.67,54,7.83,79
2015-09-02 06:45:00,21.72,35,11.11,75
2015-09-02 06:50:00,10.67,60,14.33,84
2015-09-02 06:55:00,12.28,58,10.83,83
2015-09-02 07:00:00,16.17,59,8.11,74
2015-09-02 07:05:00,25.61,34,14.83,64
2015-09-02 07:10:00,25.78,31,13.67,75
2015-09-02 07:15:00,9.44,52,16.5,72
2015-09-02 07:20:00,8.83,57,12.28,88
2015-09-02 07:25:00,11.72,55,11.06,76
2015-09-02 07:30:00,12.17,52,7.61,73
2015-09-02 07:35:00,14.33,54,11.44,86
2015-09-02 07:40:00,12.11,56,6.33,87
2015-09-02 07:45:00,13.67,54,13.89,87
2015-09-02 07:50:00,9.17,56,9.44,83
2015-09-02 07:55:00,15.06,53,2.72,88
2015-09-02 08:00:00,19.56,47,6.17,85
2015-09-02 08:05:00,18.0,52,11.83,83
2015-09-02 08:10:00,14.17,52,8.5,86
2015-09-02 08:15:00,8.33,58,6.06,84
2015-09-02 08:20:00,15.72,52,7.5,72
2015-09-02 08:30:00,21.22,47,9.78,81
2015-09-02 08:35:00,17.39,53,11.89,86
2015-09-02 08:45:00,18.83,49,9.28,69
2015-09-02 08:50:00,16.89,55,6.44,57
2015-09-02 08:55:00,18.61,51,4.28,83
2015-09-02 09:00:00,12.78,53,6.83,90
2015-09-02 09:05:00,13.33,53,8.0,74
2015-09-02 09:10:00,20.17,46,9.0,63
2015-09-02 09:30:00,12.78,63,4.11,73
2015-09-02 09:35:00,12.17,62,8.11,83
2015-09-02 09:40:00,7.78,62,5.06,74
2015-09-02 09:55:00,6.56,67,1.0,89
2015-09-02 10:00:00,13.06,61,1.39,89
2015-09-02 10:10:00,11.72,59,4.22,81
2015-09-02 10:15:00,6.5,61,3.33,89
2015-09-02 10:20:00,12.72,61,4.67,75
2015-09-02 10:25:00,9.56,61,3.33,77
2015-09-02 10:30:00,13.78,61,2.94,67
2015-09-02 10:35:00,12.33,63,3.83,90
2015-09-02 10:40:00,9.22,63,1.78,88
2015-09-02 10:45:00,10.39,61,3.89,96
2015-09-02 10:50:00,5.06,63,3.5,79
2015-09-02 11:00:00,10.56,59,6.67,89
2015-09-02 11:15:00,18.33,63,2.28,93
2015-09-02 11:25:00,8.78,65,4.11,93
2015-09-02 11:30:00,9.61,58,2.17,72
2015-09-02 12:00:00,3.06,62,1.28,86
2015-09-02 12:05:00,13.33,61,2.28,78
2015-09-02 12:15:00,14.28,56,7.06,75
2015-09-02 12:25:00,6.89,60,4.67,87
2015-09-02 12:35:00,8.17,61,4.5,83
2015-09-02 12:40:00,8.28,64,4.89,77
2015-09-02 12:50:00,15.11,62,2.33,82
2015-09-02 12:55:00,13.06,65,3.06,82
2015-09-02 13:05:00,13.28,52,1.56,82
2015-09-02 13:10:00,6.06,60,3.33,84
2015-09-02 13:15:00,17.61,61,4.22,75
2015-09-02 13:20:00,13.22,60,7.89,79
2015-09-02 13:25:00,10.11,62,4.28,72
2015-09-02 13:30:00,8.83,62,3.22,96
2015-09-02 13:35:00,12.89,62,5.06,75
2015-09-02 13:40:00,4.61,65,1.0,66
2015-09-02 13:55:00,15.28,57,6.28,87
2015-09-02 14:05:00,9.61,63,1.0,81
2015-09-02 14:15:00,8.78,61,6.28,90
2015-09-02 14:20:00,11.78,61,6.72,79
2015-09-02 14:25:00,9.94,64,5.94,82
2015-09-02 14:30:00,11.33,57,4.39,93
2015-09-02 14:35:00,12.44,62,5.06,71
2015-09-02 14:50:00,10.28,60,5.83,90
2015-09-02 15:05:00,13.72,61,3.33,81
2015-09-02 15:10:00,12.67,62,4.67,85
2015-09-02 15:15:00,14.17,59,4.61,78
2015-09-02 15:20:00,15.39,57,4.28,78
2015-09-02 15:25:00,13.44,60,2.44,70
2015-09-02 15:30:00,10.33,61,3.11,99
2015-09-02 15:35:00,12.06,61,3.11,85
2015-09-02 15:40:00,11.17,63,2.83,98
2015-09-02 15:45:00,14.0,61,6.17,82
2015-09-02 15:50:00,11.78,67,5.0,74
2015-09-02 16:05:00,9.78,64,1.44,84
2015-09-02 16:15:00,8.56,65,2.17,93
2015-09-02 16:20:00,7.5,62,3.44,90
2015-09-02 16:25:00,12.22,64,6.83,91
2015-09-02 16:30:00,12.44,60,7.89,77
2015-09-02 16:50:00,11.94,57,9.39,83
2015-09-02 16:55:00,13.39,57,7.33,80
2015-09-02 17:00:00,8.94,64,5.44,84
2015-09-02 17:10:00,14.67,61,8.5,78
2015-09-02 17:20:00,18.5,59,7.83,80
2015-09-02 17:35:00,10.72,64,4.0,73
2015-09-02 17:45:00,10.17,63,4.78,80
2015-09-02 18:05:00,11.5,61,2.72,82
2015-09-02 18:10:00,9.89,62,5.39,79
2015-09-02 18:15:00,11.78,64,2.56,68
2015-09-02 18:30:00,9.17,64,4.67,94
2015-09-02 18:35:00,6.72,64,4.61,76
2015-09-02 18:45:00,8.11,66,0.78,93
2015-09-02 19:00:00,3.78,65,4.0,84
